 Time,Values
Phase A,
23/10/2023 00:00,"7525.240000000001"
24/10/2023 00:00,"8726.86"
25/10/2023 00:00,"8029.38"
26/10/2023 00:00,"6456.3"
27/10/2023 00:00,"4904.56"
28/10/2023 00:00,"3479.9199999999996"
29/10/2023 00:00,"3664.77"
Phase B,
23/10/2023 00:00,"14061.73"
24/10/2023 00:00,"13697.44"
25/10/2023 00:00,"14805.949999999999"
26/10/2023 00:00,"12416.840000000002"
27/10/2023 00:00,"15701.750000000002"
28/10/2023 00:00,"11753.440000000002"
29/10/2023 00:00,"10698.320000000002"
Phase C,
23/10/2023 00:00,"0"
24/10/2023 00:00,"0"
25/10/2023 00:00,"0"
26/10/2023 00:00,"0"
27/10/2023 00:00,"0"
28/10/2023 00:00,"0"
29/10/2023 00:00,"0"
Total,
23/10/2023 00:00,"21586.97"
24/10/2023 00:00,"22424.300000000003"
25/10/2023 00:00,"22835.329999999998"
26/10/2023 00:00,"18873.140000000003"
27/10/2023 00:00,"20606.31"
28/10/2023 00:00,"15233.360000000002"
29/10/2023 00:00,"14363.090000000002"
Phase A Returned,
23/10/2023 00:00,"0"
24/10/2023 00:00,"0"
25/10/2023 00:00,"0"
26/10/2023 00:00,"0"
27/10/2023 00:00,"0"
28/10/2023 00:00,"0"
29/10/2023 00:00,"0"
Phase B Returned,
23/10/2023 00:00,"0"
24/10/2023 00:00,"0"
25/10/2023 00:00,"0"
26/10/2023 00:00,"0"
27/10/2023 00:00,"0"
28/10/2023 00:00,"0"
29/10/2023 00:00,"0"
Phase C Returned,
23/10/2023 00:00,"0"
24/10/2023 00:00,"0"
25/10/2023 00:00,"0"
26/10/2023 00:00,"0"
27/10/2023 00:00,"0"
28/10/2023 00:00,"0"
29/10/2023 00:00,"0"
Total Returned,
23/10/2023 00:00,"0"
24/10/2023 00:00,"0"
25/10/2023 00:00,"0"
26/10/2023 00:00,"0"
27/10/2023 00:00,"0"
28/10/2023 00:00,"0"
29/10/2023 00:00,"0"
