TIMESTAMP,Power_1,Power_2,Total:Power
2023-09-28 09:16:15,38.81,321.63,360.44
2023-09-28 09:16:17,36.68,334.12,370.8
2023-09-28 09:16:18,38.28,329.66,367.94000000000005
2023-09-28 09:16:19,36.61,319.62,356.23
2023-09-28 09:16:20,36.77,329.87,366.64
2023-09-28 09:16:21,38.9,321.65,360.54999999999995
2023-09-28 09:16:22,36.74,325.58,362.32
2023-09-28 09:16:24,45.69,318.07,363.76
2023-09-28 09:16:25,37.12,318.95,356.07
2023-09-28 09:16:26,37.35,317.83,355.18
2023-09-28 09:16:28,38.8,317.66,356.46000000000004
2023-09-28 09:16:29,36.45,318.45,354.9
2023-09-28 09:16:30,36.94,317.2,354.14
2023-09-28 09:16:31,37.61,329.42,367.03000000000003
2023-09-28 09:16:32,37.25,320.6,357.85
2023-09-28 09:16:33,37.64,316.36,354.0
2023-09-28 09:16:34,37.01,317.88,354.89
2023-09-28 09:16:36,37.01,316.96,353.96999999999997
2023-09-28 09:16:37,36.41,329.34,365.75
2023-09-28 09:16:38,37.01,317.77,354.78
2023-09-28 09:16:41,36.39,316.74,353.13
2023-09-28 09:16:42,38.24,321.74,359.98
2023-09-28 09:16:43,36.8,323.85,360.65000000000003
2023-09-28 09:16:44,36.86,319.84,356.7
2023-09-28 09:16:45,38.12,318.21,356.33
2023-09-28 09:16:46,37.31,321.07,358.38
2023-09-28 09:16:47,39.74,321.15,360.89
2023-09-28 09:16:48,38.86,315.85,354.71000000000004
2023-09-28 09:16:51,38.64,323.64,362.28
2023-09-28 09:16:52,39.13,326.43,365.56
2023-09-28 09:16:53,36.15,327.25,363.4
2023-09-28 09:16:55,35.73,318.66,354.39000000000004
2023-09-28 09:16:56,42.25,319.41,361.66
2023-09-28 09:16:57,43.88,316.9,360.78
2023-09-28 09:16:58,43.4,319.86,363.26
2023-09-28 09:16:59,44.33,327.12,371.45
2023-09-28 09:17:00,42.84,327.63,370.47
2023-09-28 09:17:01,43.01,319.63,362.64
2023-09-28 09:17:02,46.68,327.02,373.7
2023-09-28 09:17:04,49.52,323.63,373.15
2023-09-28 09:17:06,45.9,318.8,364.7
2023-09-28 09:17:07,43.08,318.21,361.28999999999996
2023-09-28 09:17:08,41.53,318.16,359.69000000000005
2023-09-28 09:17:10,42.35,325.88,368.23
2023-09-28 09:17:13,42.38,330.82,373.2
2023-09-28 09:17:14,42.95,323.01,365.96
2023-09-28 09:17:15,42.78,318.69,361.47
2023-09-28 09:17:17,44.57,317.85,362.42
2023-09-28 09:17:19,44.96,322.05,367.01
2023-09-28 09:17:20,46.23,318.85,365.08000000000004
2023-09-28 09:17:21,44.92,322.82,367.74
2023-09-28 09:17:22,43.93,325.01,368.94
2023-09-28 09:17:24,43.79,330.06,373.85
2023-09-28 09:17:25,44.1,325.66,369.76000000000005
2023-09-28 09:17:26,43.84,321.96,365.79999999999995
2023-09-28 09:17:27,42.03,324.48,366.51
2023-09-28 09:17:28,42.07,326.69,368.76
2023-09-28 09:17:29,41.5,318.68,360.18
2023-09-28 09:17:30,42.29,316.82,359.11
2023-09-28 09:17:31,43.07,318.76,361.83
2023-09-28 09:17:32,41.67,318.87,360.54
2023-09-28 09:17:33,42.82,320.38,363.2
2023-09-28 09:17:34,43.94,325.45,369.39
2023-09-28 09:17:35,41.3,317.73,359.03000000000003
2023-09-28 09:17:37,41.77,318.14,359.90999999999997
2023-09-28 09:17:38,42.98,318.06,361.04
2023-09-28 09:17:39,41.18,323.29,364.47
2023-09-28 09:17:41,42.78,326.35,369.13
2023-09-28 09:17:42,41.55,330.02,371.57
2023-09-28 09:17:44,41.43,324.43,365.86
2023-09-28 09:17:45,43.08,320.08,363.15999999999997
2023-09-28 09:17:45,42.76,319.02,361.78
2023-09-28 09:17:47,43.52,315.88,359.4
2023-09-28 09:17:48,43.19,320.69,363.88
2023-09-28 09:17:49,44.02,317.04,361.06
2023-09-28 09:17:51,44.71,316.19,360.9
2023-09-28 09:17:52,47.01,314.93,361.94
2023-09-28 09:17:53,50.69,328.33,379.02
2023-09-28 09:17:54,46.01,317.86,363.87
2023-09-28 09:17:55,45.9,313.91,359.81
2023-09-28 09:17:57,45.0,316.54,361.54
2023-09-28 09:17:59,42.83,320.4,363.22999999999996
2023-09-28 09:18:00,42.73,329.44,372.17
2023-09-28 09:18:01,43.53,319.32,362.85
2023-09-28 09:18:02,43.12,317.63,360.75
2023-09-28 09:18:05,43.07,313.8,356.87
2023-09-28 09:18:06,43.55,323.37,366.92
2023-09-28 09:18:07,42.87,318.16,361.03000000000003
2023-09-28 09:18:11,44.42,317.89,362.31
2023-09-28 09:18:13,44.34,315.84,360.17999999999995
2023-09-28 09:18:14,41.95,316.42,358.37
2023-09-28 09:18:15,41.89,322.18,364.07
2023-09-28 09:18:18,43.68,317.47,361.15000000000003
2023-09-28 09:18:19,43.37,323.81,367.18
2023-09-28 09:18:20,42.25,321.7,363.95
2023-09-28 09:18:21,41.97,321.4,363.37
2023-09-28 09:18:22,42.67,316.66,359.33000000000004
2023-09-28 09:18:23,42.66,320.1,362.76
2023-09-28 09:18:24,41.79,322.9,364.69
2023-09-28 09:18:25,42.45,315.31,357.76
2023-09-28 09:18:26,42.13,313.33,355.46
2023-09-28 09:18:27,44.14,313.88,358.02
2023-09-28 09:18:28,42.41,314.09,356.5
2023-09-28 09:18:29,41.88,314.66,356.54
2023-09-28 09:18:30,44.35,314.97,359.32000000000005
2023-09-28 09:18:31,48.46,316.77,365.22999999999996
2023-09-28 09:18:32,42.26,319.23,361.49
2023-09-28 09:18:35,42.37,314.06,356.43
2023-09-28 09:18:37,43.5,314.72,358.22
2023-09-28 09:18:38,42.01,315.72,357.73
2023-09-28 09:18:39,41.81,318.48,360.29
2023-09-28 09:18:41,41.86,313.48,355.34000000000003
2023-09-28 09:18:42,42.21,321.33,363.53999999999996
2023-09-28 09:18:43,42.93,316.27,359.2
2023-09-28 09:18:44,42.06,318.86,360.92
2023-09-28 09:18:45,42.36,318.75,361.11
2023-09-28 09:18:47,42.54,323.95,366.49
2023-09-28 09:18:49,42.91,316.33,359.24
2023-09-28 09:18:51,43.98,320.21,364.19
2023-09-28 09:18:52,42.54,316.12,358.66
2023-09-28 09:18:53,42.2,317.78,359.97999999999996
2023-09-28 09:18:54,43.88,315.86,359.74
2023-09-28 09:18:55,41.79,319.96,361.75
2023-09-28 09:18:56,42.85,320.89,363.74
2023-09-28 09:18:56,41.99,315.25,357.24
2023-09-28 09:18:57,43.34,316.33,359.66999999999996
2023-09-28 09:18:58,41.91,317.5,359.40999999999997
2023-09-28 09:18:59,41.85,319.02,360.87
2023-09-28 09:19:00,42.96,325.95,368.90999999999997
2023-09-28 09:19:01,42.07,320.63,362.7
2023-09-28 09:19:02,42.63,322.96,365.59
2023-09-28 09:19:03,42.43,320.03,362.46
2023-09-28 09:19:04,43.25,318.18,361.43
2023-09-28 09:19:05,42.64,318.39,361.03
2023-09-28 09:19:06,42.31,322.03,364.34
2023-09-28 09:19:07,43.21,315.82,359.03
2023-09-28 09:19:08,52.32,318.02,370.34
2023-09-28 09:19:09,42.53,323.05,365.58000000000004
2023-09-28 09:19:10,42.76,320.01,362.77
2023-09-28 09:19:11,44.68,315.69,360.37
2023-09-28 09:19:12,44.93,316.07,361.0
2023-09-28 09:19:13,44.34,316.49,360.83000000000004
2023-09-28 09:19:14,44.39,315.42,359.81
2023-09-28 09:19:15,46.21,319.39,365.59999999999997
2023-09-28 09:19:16,45.11,317.26,362.37
2023-09-28 09:19:17,42.27,316.31,358.58
2023-09-28 09:19:18,43.01,321.54,364.55
2023-09-28 09:19:19,42.42,322.93,365.35
2023-09-28 09:19:20,47.11,318.89,366.0
2023-09-28 09:19:22,44.52,315.64,360.15999999999997
2023-09-28 09:19:23,43.29,316.23,359.52000000000004
2023-09-28 09:19:24,42.54,317.3,359.84000000000003
2023-09-28 09:19:25,43.15,316.52,359.66999999999996
2023-09-28 09:19:26,42.47,319.95,362.41999999999996
2023-09-28 09:19:28,42.2,318.28,360.47999999999996
2023-09-28 09:19:29,43.78,316.25,360.03
2023-09-28 09:19:30,42.4,316.38,358.78
2023-09-28 09:19:31,42.66,315.53,358.18999999999994
2023-09-28 09:19:33,42.78,313.92,356.70000000000005
2023-09-28 09:19:35,44.01,318.3,362.31
2023-09-28 09:19:36,51.72,318.01,369.73
2023-09-28 09:19:37,43.35,316.35,359.70000000000005
2023-09-28 09:19:38,43.66,316.18,359.84000000000003
2023-09-28 09:19:40,42.95,314.77,357.71999999999997
2023-09-28 09:19:41,44.33,322.91,367.24
2023-09-28 09:19:42,44.13,318.34,362.46999999999997
2023-09-28 09:19:43,47.96,315.59,363.54999999999995
2023-09-28 09:19:44,45.27,320.59,365.85999999999996
2023-09-28 09:19:45,44.74,320.69,365.43
2023-09-28 09:19:46,44.31,316.58,360.89
2023-09-28 09:19:47,42.59,313.43,356.02
2023-09-28 09:19:48,42.4,313.23,355.63
2023-09-28 09:19:49,43.48,318.21,361.69
2023-09-28 09:19:50,43.7,316.59,360.28999999999996
2023-09-28 09:19:51,42.42,316.05,358.47
2023-09-28 09:19:52,42.71,314.9,357.60999999999996
2023-09-28 09:19:53,43.83,316.4,360.22999999999996
2023-09-28 09:19:54,42.04,315.33,357.37
2023-09-28 09:19:55,42.38,315.68,358.06
2023-09-28 09:19:56,42.85,314.86,357.71000000000004
2023-09-28 09:19:57,43.66,315.81,359.47
2023-09-28 09:19:58,42.89,314.86,357.75
2023-09-28 09:19:59,41.95,316.22,358.17
2023-09-28 09:20:00,43.82,315.27,359.09
2023-09-28 09:20:01,43.5,315.06,358.56
2023-09-28 09:20:02,42.25,314.8,357.05
2023-09-28 09:20:03,45.4,316.35,361.75
2023-09-28 09:20:04,43.7,314.59,358.28999999999996
2023-09-28 09:20:05,41.68,315.42,357.1
2023-09-28 09:20:06,42.54,317.21,359.75
2023-09-28 09:20:07,44.22,317.64,361.86
2023-09-28 09:20:08,42.5,315.23,357.73
2023-09-28 09:20:10,42.15,315.65,357.79999999999995
2023-09-28 09:20:12,42.81,316.36,359.17
2023-09-28 09:20:13,42.55,316.31,358.86
2023-09-28 09:20:14,42.8,318.89,361.69
2023-09-28 09:20:15,42.51,318.29,360.8
2023-09-28 09:20:16,43.72,316.5,360.22
2023-09-28 09:20:17,43.59,321.72,365.31000000000006
2023-09-28 09:20:18,44.52,316.22,360.74
2023-09-28 09:20:20,44.81,338.8,383.61
2023-09-28 09:20:21,45.89,319.31,365.2
2023-09-28 09:20:22,45.18,312.95,358.13
2023-09-28 09:20:23,44.4,313.2,357.59999999999997
