Fecha,Demanda
2023-10-09-00:00:10,497.39
2023-10-09-00:00:11,501.3
2023-10-09-00:00:12,502.99
2023-10-09-00:00:13,488.94
2023-10-09-00:00:14,495.1
2023-10-09-00:00:15,501.24
2023-10-09-00:00:16,506.62
2023-10-09-00:00:17,501.47
2023-10-09-00:00:19,518.65
2023-10-09-00:00:21,513.73
2023-10-09-00:00:22,504
2023-10-09-00:00:23,495.79
2023-10-09-00:00:24,484.75
2023-10-09-00:00:25,501.47
2023-10-09-00:00:26,485.71
2023-10-09-00:00:29,482.15
2023-10-09-00:00:29,488.63
2023-10-09-00:00:30,488.29
2023-10-09-00:00:31,495.79
2023-10-09-00:00:32,489.32
2023-10-09-00:00:33,500.6
2023-10-09-00:00:34,487.69
2023-10-09-00:00:35,498.98
2023-10-09-00:00:36,481.84
2023-10-09-00:00:37,499.04
2023-10-09-00:00:38,485.6
2023-10-09-00:00:39,495.84
2023-10-09-00:00:40,488.04
2023-10-09-00:00:41,497.7
2023-10-09-00:00:42,489.15
2023-10-09-00:00:44,501.95
2023-10-09-00:00:45,500.43
2023-10-09-00:00:46,483.31
2023-10-09-00:00:47,487.84
2023-10-09-00:00:48,500.45
2023-10-09-00:00:49,483.85
2023-10-09-00:00:50,500.58
2023-10-09-00:00:51,495.64
2023-10-09-00:00:52,495.58
2023-10-09-00:00:53,481.61
2023-10-09-00:00:54,496.54
2023-10-09-00:00:55,489.98
2023-10-09-00:00:56,493.58
2023-10-09-00:00:57,483.15
2023-10-09-00:00:58,501.16
2023-10-09-00:00:59,487.03
2023-10-09-00:01:01,483.09
2023-10-09-00:01:02,506.56
2023-10-09-00:01:03,504.69
2023-10-09-00:01:04,488.12
2023-10-09-00:01:05,507.12
2023-10-09-00:01:06,502.98
2023-10-09-00:01:07,496.31
2023-10-09-00:01:08,499.02
2023-10-09-00:01:09,485.61
2023-10-09-00:01:11,493.37
2023-10-09-00:01:15,494.32
2023-10-09-00:01:16,491.32
2023-10-09-00:01:17,501.32
2023-10-09-00:01:18,493.98
2023-10-09-00:01:19,508.88
2023-10-09-00:01:20,483.2
2023-10-09-00:01:21,498.83
2023-10-09-00:01:22,495.63
2023-10-09-00:01:23,507.48
2023-10-09-00:01:24,503.3
2023-10-09-00:01:25,487.05
2023-10-09-00:01:26,498.79
2023-10-09-00:01:27,502.89
2023-10-09-00:01:28,495.11
2023-10-09-00:01:29,488.55
2023-10-09-00:01:30,483.61
2023-10-09-00:01:31,498.24
2023-10-09-00:01:32,496.3
2023-10-09-00:01:33,485.59
2023-10-09-00:01:34,497.35
2023-10-09-00:01:35,492.6
2023-10-09-00:01:36,494.82
2023-10-09-00:01:37,485.1
2023-10-09-00:01:38,502.57
2023-10-09-00:01:39,499
2023-10-09-00:01:41,491.51
2023-10-09-00:01:43,490
2023-10-09-00:01:44,485.35
2023-10-09-00:01:46,487.64
2023-10-09-00:01:47,510.2
2023-10-09-00:01:48,501.07
2023-10-09-00:01:49,493.24
2023-10-09-00:01:50,487.66
2023-10-09-00:01:51,487.64
2023-10-09-00:01:53,503.01
2023-10-09-00:01:54,487.02
2023-10-09-00:01:55,495.19
2023-10-09-00:01:56,489.81
2023-10-09-00:01:59,501.62
2023-10-09-00:02:00,495.62
2023-10-09-00:02:01,510.49
2023-10-09-00:02:02,507.52
2023-10-09-00:02:02,490.69
2023-10-09-00:02:03,498.8
2023-10-09-00:02:04,489.11
2023-10-09-00:02:05,508.85
2023-10-09-00:02:06,489.45
2023-10-09-00:02:07,494.18
2023-10-09-00:02:08,492.47
2023-10-09-00:02:09,492.47
2023-10-09-00:02:10,482.27
2023-10-09-00:02:11,493.59
2023-10-09-00:02:12,488.26
2023-10-09-00:02:14,494.51
2023-10-09-00:02:15,487.85
2023-10-09-00:02:16,493.1
2023-10-09-00:02:16,480.26
2023-10-09-00:02:17,490.6
2023-10-09-00:02:18,490.11
2023-10-09-00:02:19,491.94
2023-10-09-00:02:20,480.06
2023-10-09-00:02:21,485.73
2023-10-09-00:02:22,483.37
2023-10-09-00:02:23,484.55
2023-10-09-00:02:24,494.8
2023-10-09-00:02:25,497.84
2023-10-09-00:02:26,487.48
2023-10-09-00:02:28,491.4
2023-10-09-00:02:29,470.77
2023-10-09-00:02:30,484.69
2023-10-09-00:02:31,479.68
2023-10-09-00:02:32,500.52
2023-10-09-00:02:33,489.43
2023-10-09-00:02:34,491.54
2023-10-09-00:02:35,486.96
2023-10-09-00:02:36,491.04
2023-10-09-00:02:37,475.4
2023-10-09-00:02:38,491.36
2023-10-09-00:02:39,486.43
2023-10-09-00:02:40,479.27
2023-10-09-00:02:41,492.49
2023-10-09-00:02:43,486.27
2023-10-09-00:02:46,483.76
2023-10-09-00:02:47,488.26
2023-10-09-00:02:48,477.45
2023-10-09-00:02:49,493.08
2023-10-09-00:02:51,491.76
2023-10-09-00:02:52,487.69
2023-10-09-00:02:53,480.15
2023-10-09-00:02:54,479.99
2023-10-09-00:02:55,484.24
2023-10-09-00:02:56,481.79
2023-10-09-00:02:57,481.39
2023-10-09-00:02:58,491.93
2023-10-09-00:02:59,498.86
2023-10-09-00:03:00,484.69
2023-10-09-00:03:01,479.87
2023-10-09-00:03:02,481.09
2023-10-09-00:03:03,493.28
2023-10-09-00:03:04,494.61
2023-10-09-00:03:05,476.43
2023-10-09-00:03:06,489.75
2023-10-09-00:03:07,476.99
2023-10-09-00:03:08,487.3
2023-10-09-00:03:09,477.67
2023-10-09-00:03:10,489.09
2023-10-09-00:03:11,477.22
2023-10-09-00:03:13,491.34
2023-10-09-00:03:14,490.41
2023-10-09-00:03:15,480.16
2023-10-09-00:03:16,484.78
2023-10-09-00:03:17,492.14
2023-10-09-00:03:18,493.97
2023-10-09-00:03:19,480.23
2023-10-09-00:03:20,482.18
2023-10-09-00:03:21,490.4
2023-10-09-00:03:22,480.37
2023-10-09-00:03:23,498.24
2023-10-09-00:03:24,481.22
2023-10-09-00:03:25,487.78
2023-10-09-00:03:26,473.27
2023-10-09-00:03:29,492.34
2023-10-09-00:03:30,475.67
2023-10-09-00:03:31,491.99
2023-10-09-00:03:32,483.06
2023-10-09-00:03:33,481.53
2023-10-09-00:03:33,497.03
2023-10-09-00:03:34,492.09
2023-10-09-00:03:35,488.42
2023-10-09-00:03:36,486.51
2023-10-09-00:03:37,495.77
2023-10-09-00:03:38,477.84
2023-10-09-00:03:39,505.44
2023-10-09-00:03:40,481.24
2023-10-09-00:03:42,478.75
2023-10-09-00:03:44,497.39
2023-10-09-00:03:45,482.03
2023-10-09-00:03:46,491.36
2023-10-09-00:03:46,482.77
2023-10-09-00:03:49,485.49
2023-10-09-00:03:50,489.73
2023-10-09-00:03:51,490.8
2023-10-09-00:03:53,482.55
2023-10-09-00:03:54,494.18
2023-10-09-00:03:55,477.05
2023-10-09-00:03:56,491.85
2023-10-09-00:03:58,487.7
2023-10-09-00:03:59,476.4
2023-10-09-00:04:00,487.56
2023-10-09-00:04:01,480.93
2023-10-09-00:04:02,488.84
2023-10-09-00:04:03,477.71
2023-10-09-00:04:04,493.53
2023-10-09-00:04:05,494.48
2023-10-09-00:04:06,481.53
2023-10-09-00:04:07,474.89
2023-10-09-00:04:09,487.55
2023-10-09-00:04:10,490.31
2023-10-09-00:04:13,506.66
2023-10-09-00:04:15,504.61
2023-10-09-00:04:16,504.09
2023-10-09-00:04:17,499.89
2023-10-09-00:04:18,490.78
2023-10-09-00:04:19,501.15
2023-10-09-00:04:20,502.32
2023-10-09-00:04:21,498.64
2023-10-09-00:04:22,491.6
2023-10-09-00:04:23,506.51
2023-10-09-00:04:24,495.19
2023-10-09-00:04:25,504.52
2023-10-09-00:04:26,495.21
2023-10-09-00:04:27,511.92
2023-10-09-00:04:29,494.69
2023-10-09-00:04:30,497.55
2023-10-09-00:04:30,500
2023-10-09-00:04:31,506.12
2023-10-09-00:04:32,499.69
2023-10-09-00:04:33,504.34
2023-10-09-00:04:34,490.05
2023-10-09-00:04:35,506.49
2023-10-09-00:04:36,493.03
2023-10-09-00:04:37,508.49
2023-10-09-00:04:38,501.53
2023-10-09-00:04:39,498.58
2023-10-09-00:04:40,524.36
2023-10-09-00:04:41,513.5
2023-10-09-00:04:42,483.27
2023-10-09-00:04:46,481.86
2023-10-09-00:04:49,486.57
2023-10-09-00:04:50,498.9
2023-10-09-00:04:52,479.4
2023-10-09-00:04:53,480.95
2023-10-09-00:04:54,492.06
2023-10-09-00:04:55,476.38
2023-10-09-00:04:56,488.87
2023-10-09-00:04:57,476.25
2023-10-09-00:05:01,475.29
2023-10-09-00:05:03,491.08
2023-10-09-00:05:04,479.82
2023-10-09-00:05:05,491.36
2023-10-09-00:05:06,488.05
2023-10-09-00:05:07,481.02
2023-10-09-00:05:08,479.52
2023-10-09-00:05:09,487.74
2023-10-09-00:05:10,489.21
2023-10-09-00:05:11,484.06
2023-10-09-00:05:12,481.49
2023-10-09-00:05:14,487.65
2023-10-09-00:05:15,483.89
2023-10-09-00:05:16,479.7
2023-10-09-00:05:17,493.11
2023-10-09-00:05:18,477.88
2023-10-09-00:05:19,485.4
2023-10-09-00:05:20,477.22
2023-10-09-00:05:21,490.04
2023-10-09-00:05:22,482.48
2023-10-09-00:05:23,486.26
2023-10-09-00:05:24,492.07
2023-10-09-00:05:25,476.89
2023-10-09-00:05:26,492.46
2023-10-09-00:05:27,479.71
2023-10-09-00:05:29,475.34
2023-10-09-00:05:30,492.15
2023-10-09-00:05:31,478.34
2023-10-09-00:05:32,488.9
2023-10-09-00:05:33,479.25
2023-10-09-00:05:34,490.31
2023-10-09-00:05:35,479.51
2023-10-09-00:05:36,480.18
2023-10-09-00:05:37,489.38
2023-10-09-00:05:38,488.33
2023-10-09-00:05:39,483.82
2023-10-09-00:05:40,482.82
2023-10-09-00:05:41,498.92
2023-10-09-00:05:45,490.79
2023-10-09-00:05:46,440.31
2023-10-09-00:05:47,450.5
2023-10-09-00:05:48,452.06
2023-10-09-00:05:49,427.77
2023-10-09-00:05:50,430.68
2023-10-09-00:05:51,448.01
2023-10-09-00:05:52,451.45
2023-10-09-00:05:53,427.7
2023-10-09-00:05:54,438.55
2023-10-09-00:05:55,431.22
2023-10-09-00:05:55,436.49
2023-10-09-00:05:56,425.24
2023-10-09-00:05:59,426.97
2023-10-09-00:06:00,440.25
2023-10-09-00:06:01,431.6
2023-10-09-00:06:01,440.29
2023-10-09-00:06:02,424.33
2023-10-09-00:06:03,436.06
2023-10-09-00:06:04,437.14
2023-10-09-00:06:05,437.43
2023-10-09-00:06:06,442.46
2023-10-09-00:06:07,431.51
2023-10-09-00:06:08,433.92
2023-10-09-00:06:09,430.03
2023-10-09-00:06:10,423.68
2023-10-09-00:06:11,433.67
2023-10-09-00:06:12,434.94
2023-10-09-00:06:14,426.8
2023-10-09-00:06:15,428.67
2023-10-09-00:06:16,431.9
2023-10-09-00:06:16,435.71
2023-10-09-00:06:17,427.93
2023-10-09-00:06:18,447.58
2023-10-09-00:06:19,434.92
2023-10-09-00:06:20,436.11
2023-10-09-00:06:21,428.19
2023-10-09-00:06:22,439.99
2023-10-09-00:06:23,425.74
2023-10-09-00:06:24,433.42
2023-10-09-00:06:25,427.2
2023-10-09-00:06:26,440.84
2023-10-09-00:06:27,428.47
2023-10-09-00:06:29,432.49
2023-10-09-00:06:30,423.64
2023-10-09-00:06:31,437.35
2023-10-09-00:06:31,591.23
2023-10-09-00:06:32,580.72
2023-10-09-00:06:33,591.94
2023-10-09-00:06:34,580.14
2023-10-09-00:06:35,579.75
2023-10-09-00:06:36,588.78
2023-10-09-00:06:37,597.84
2023-10-09-00:06:38,587.3
2023-10-09-00:06:39,606.53
2023-10-09-00:06:40,596.81
2023-10-09-00:06:41,607.53
2023-10-09-00:06:42,600.26
2023-10-09-00:06:46,596.33
2023-10-09-00:06:48,609.23
2023-10-09-00:06:49,618.9
2023-10-09-00:06:50,610.8
2023-10-09-00:06:51,606.5
2023-10-09-00:06:53,593.71
2023-10-09-00:06:54,610.18
2023-10-09-00:06:55,600.81
2023-10-09-00:06:56,600.58
2023-10-09-00:06:58,603.49
2023-10-09-00:06:59,588.56
2023-10-09-00:07:00,601.37
2023-10-09-00:07:01,592.16
2023-10-09-00:07:02,604.17
2023-10-09-00:07:03,588.45
2023-10-09-00:07:04,600.98
2023-10-09-00:07:05,584.65
2023-10-09-00:07:06,596.33
2023-10-09-00:07:07,582.42
2023-10-09-00:07:09,581.71
2023-10-09-00:07:11,586.98
2023-10-09-00:07:13,581.37
2023-10-09-00:07:15,592.21
2023-10-09-00:07:16,579.14
2023-10-09-00:07:17,578.14
2023-10-09-00:07:18,578.53
2023-10-09-00:07:19,590.85
2023-10-09-00:07:20,577.09
2023-10-09-00:07:21,589.21
2023-10-09-00:07:22,576.83
2023-10-09-00:07:23,585.45
2023-10-09-00:07:24,577.46
2023-10-09-00:07:25,589.03
2023-10-09-00:07:26,574.45
2023-10-09-00:07:30,577.43
2023-10-09-00:07:31,578.46
2023-10-09-00:07:32,587.81
2023-10-09-00:07:33,572.37
2023-10-09-00:07:34,586.01
2023-10-09-00:07:35,580.81
2023-10-09-00:07:35,584.64
2023-10-09-00:07:36,570.62
2023-10-09-00:07:37,584.11
2023-10-09-00:07:38,585.3
2023-10-09-00:07:39,575.88
2023-10-09-00:07:40,580.02
2023-10-09-00:07:41,585.36
2023-10-09-00:07:42,577.73
2023-10-09-00:07:44,599.46
2023-10-09-00:07:45,593.77
2023-10-09-00:07:46,582.81
2023-10-09-00:07:46,569.05
2023-10-09-00:07:47,580.03
2023-10-09-00:07:48,572.18
2023-10-09-00:07:49,580.28
2023-10-09-00:07:50,567.31
2023-10-09-00:07:51,584.74
2023-10-09-00:07:52,581.17
2023-10-09-00:07:53,579.79
2023-10-09-00:07:54,580.95
2023-10-09-00:07:55,573.73
2023-10-09-00:07:56,570
2023-10-09-00:07:57,581.02
2023-10-09-00:07:59,575.39
2023-10-09-00:08:00,582.33
2023-10-09-00:08:01,581.98
2023-10-09-00:08:02,581.37
2023-10-09-00:08:03,573.75
2023-10-09-00:08:04,596.28
2023-10-09-00:08:05,573.18
2023-10-09-00:08:06,584.67
2023-10-09-00:08:07,572.12
2023-10-09-00:08:08,582.46
2023-10-09-00:08:09,570.72
2023-10-09-00:08:10,574.78
2023-10-09-00:08:11,578.4
2023-10-09-00:08:12,582.26
2023-10-09-00:08:13,570.83
2023-10-09-00:08:15,568.97
2023-10-09-00:08:17,582.64
2023-10-09-00:08:18,587.05
2023-10-09-00:08:19,580.16
2023-10-09-00:08:20,582.92
2023-10-09-00:08:21,575.05
2023-10-09-00:08:22,578.62
2023-10-09-00:08:23,580.77
2023-10-09-00:08:24,568.58
2023-10-09-00:08:25,583.31
2023-10-09-00:08:26,567.34
2023-10-09-00:08:27,580.17
2023-10-09-00:08:28,567.64
2023-10-09-00:08:29,580.56
2023-10-09-00:08:30,567.65
2023-10-09-00:08:31,575.55
2023-10-09-00:08:32,566.54
2023-10-09-00:08:33,581.47
2023-10-09-00:08:34,577.14
2023-10-09-00:08:35,580.44
2023-10-09-00:08:36,586.51
2023-10-09-00:08:37,574.68
2023-10-09-00:08:38,577.58
2023-10-09-00:08:39,565.65
2023-10-09-00:08:40,577.4
2023-10-09-00:08:41,567.32
2023-10-09-00:08:42,571.4
2023-10-09-00:08:43,569.66
2023-10-09-00:08:45,577.64
2023-10-09-00:08:47,575.47
2023-10-09-00:08:48,582.04
2023-10-09-00:08:49,567.67
2023-10-09-00:08:50,571.26
2023-10-09-00:08:51,578.14
2023-10-09-00:08:52,586.85
2023-10-09-00:08:53,574.75
2023-10-09-00:08:54,571.62
2023-10-09-00:08:55,574.62
2023-10-09-00:08:56,562.48
2023-10-09-00:08:57,575.56
2023-10-09-00:08:58,571.12
2023-10-09-00:08:59,579.47
2023-10-09-00:09:00,566.02
2023-10-09-00:09:01,570.34
2023-10-09-00:09:02,583.92
2023-10-09-00:09:03,577.73
2023-10-09-00:09:04,569.51
2023-10-09-00:09:05,578.01
2023-10-09-00:09:06,578.09
2023-10-09-00:09:07,584.69
2023-10-09-00:09:08,578.53
2023-10-09-00:09:09,582.37
2023-10-09-00:09:10,580.21
2023-10-09-00:09:11,568.18
2023-10-09-00:09:12,571.63
2023-10-09-00:09:13,580.22
2023-10-09-00:09:14,569.82
2023-10-09-00:09:15,567.52
2023-10-09-00:09:16,566.74
2023-10-09-00:09:17,579.61
2023-10-09-00:09:18,572.16
2023-10-09-00:09:19,565.78
2023-10-09-00:09:20,578.21
2023-10-09-00:09:21,565.93
2023-10-09-00:09:22,592.33
2023-10-09-00:09:23,570.28
2023-10-09-00:09:24,579.29
2023-10-09-00:09:25,567.66
2023-10-09-00:09:26,579.77
2023-10-09-00:09:27,575.25
2023-10-09-00:09:28,587.93
2023-10-09-00:09:29,585.25
2023-10-09-00:09:30,591.4
2023-10-09-00:09:31,579.85
2023-10-09-00:09:32,572.57
2023-10-09-00:09:33,572.26
2023-10-09-00:09:34,579.93
2023-10-09-00:09:35,568.47
2023-10-09-00:09:36,580.26
2023-10-09-00:09:37,569.53
2023-10-09-00:09:38,581.88
2023-10-09-00:09:39,565.4
2023-10-09-00:09:40,580.34
2023-10-09-00:09:41,568.65
2023-10-09-00:09:42,577.39
2023-10-09-00:09:43,571.85
2023-10-09-00:09:44,580.39
2023-10-09-00:09:45,581.31
2023-10-09-00:09:46,577.39
2023-10-09-00:09:47,563.56
2023-10-09-00:09:48,579.58
2023-10-09-00:09:49,567.93
2023-10-09-00:09:50,575.93
2023-10-09-00:09:51,584.15
2023-10-09-00:09:52,578.59
2023-10-09-00:09:53,569.77
2023-10-09-00:09:54,576.5
2023-10-09-00:09:55,578.49
2023-10-09-00:09:56,569.25
2023-10-09-00:09:57,583.38
2023-10-09-00:09:58,578.46
2023-10-09-00:09:59,582
2023-10-09-00:10:00,564.34
2023-10-09-00:10:01,570.21
2023-10-09-00:10:02,582.29
2023-10-09-00:10:03,566.91
2023-10-09-00:10:04,567.94
2023-10-09-00:10:05,576.8
2023-10-09-00:10:06,569.45
2023-10-09-00:10:07,579.98
2023-10-09-00:10:08,568.15
2023-10-09-00:10:09,579.12
2023-10-09-00:10:10,576.84
2023-10-09-00:10:11,585.83
2023-10-09-00:10:12,576.55
2023-10-09-00:10:14,565.74
2023-10-09-00:10:15,579.17
2023-10-09-00:10:16,581.99
2023-10-09-00:10:17,579.9
2023-10-09-00:10:18,567.15
2023-10-09-00:10:19,590.25
2023-10-09-00:10:20,568.22
2023-10-09-00:10:21,566.21
2023-10-09-00:10:22,579.99
2023-10-09-00:10:23,577.68
2023-10-09-00:10:24,565.56
2023-10-09-00:10:25,568.91
2023-10-09-00:10:26,596.06
2023-10-09-00:10:29,568.59
2023-10-09-00:10:30,576.86
2023-10-09-00:10:31,579.9
2023-10-09-00:10:32,580.12
2023-10-09-00:10:33,572.76
2023-10-09-00:10:33,573.93
2023-10-09-00:10:34,571.62
2023-10-09-00:10:35,583.03
2023-10-09-00:10:36,568.35
2023-10-09-00:10:37,570.89
2023-10-09-00:10:38,576.88
2023-10-09-00:10:39,583.45
2023-10-09-00:10:40,582.58
2023-10-09-00:10:41,573.2
2023-10-09-00:10:43,565.53
2023-10-09-00:10:44,576.93
2023-10-09-00:10:45,576.43
2023-10-09-00:10:46,572.65
2023-10-09-00:10:47,564.52
2023-10-09-00:10:48,580.81
2023-10-09-00:10:49,571.48
2023-10-09-00:10:50,573.72
2023-10-09-00:10:51,570.39
2023-10-09-00:10:52,581.36
2023-10-09-00:10:53,573.33
2023-10-09-00:10:54,573.26
