 Time,Values
Phase A,
09/10/2023 00:00,"185.62"
09/10/2023 01:00,"186.8"
09/10/2023 02:00,"178.21"
09/10/2023 03:00,"307.83"
09/10/2023 04:00,"221.19"
09/10/2023 05:00,"214.63"
09/10/2023 06:00,"609.6"
09/10/2023 07:00,"198.71"
09/10/2023 08:00,"218.89"
09/10/2023 09:00,"622.4"
09/10/2023 10:00,"223.11"
09/10/2023 11:00,"338.18"
09/10/2023 12:00,"458.92"
09/10/2023 13:00,"226.9"
09/10/2023 14:00,"92.76"
09/10/2023 15:00,"89.31"
09/10/2023 16:00,"96.15"
09/10/2023 17:00,"93.86"
09/10/2023 18:00,"389.78"
09/10/2023 19:00,"673.52"
09/10/2023 20:00,"398.93"
09/10/2023 21:00,"476.41"
09/10/2023 22:00,"413.63"
09/10/2023 23:00,"215.45"
Phase B,
09/10/2023 00:00,"298.12"
09/10/2023 01:00,"349.26"
09/10/2023 02:00,"242.39"
09/10/2023 03:00,"300.68"
09/10/2023 04:00,"716.62"
09/10/2023 05:00,"852.49"
09/10/2023 06:00,"1146.96"
09/10/2023 07:00,"379.15"
09/10/2023 08:00,"313.37"
09/10/2023 09:00,"720.97"
09/10/2023 10:00,"349.18"
09/10/2023 11:00,"1099.99"
09/10/2023 12:00,"808"
09/10/2023 13:00,"543.04"
09/10/2023 14:00,"587.36"
09/10/2023 15:00,"272.03"
09/10/2023 16:00,"341.29"
09/10/2023 17:00,"442.06"
09/10/2023 18:00,"380.16"
09/10/2023 19:00,"800.15"
09/10/2023 20:00,"467.67"
09/10/2023 21:00,"748.47"
09/10/2023 22:00,"499.73"
09/10/2023 23:00,"355.39"
Phase C,
09/10/2023 00:00,"0"
09/10/2023 01:00,"0"
09/10/2023 02:00,"0"
09/10/2023 03:00,"0"
09/10/2023 04:00,"0"
09/10/2023 05:00,"0"
09/10/2023 06:00,"0"
09/10/2023 07:00,"0"
09/10/2023 08:00,"0"
09/10/2023 09:00,"0"
09/10/2023 10:00,"0"
09/10/2023 11:00,"0"
09/10/2023 12:00,"0"
09/10/2023 13:00,"0"
09/10/2023 14:00,"0"
