Meses,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dec
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,683.9115209,648.4529142,727.4020825,691.0520701,683.1723672,638.7334151,668.8076117,695.4554021,687.7318061,708.7346653,662.1430025,661.5172534
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,20.613513471428632,12.517547823809537,0.0,0.0,0.0,0.0,19.80790612380963
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,68.39115209,64.84529142,72.74020825,69.10520701,68.31723672,63.87334151,66.88076117,69.54554021,68.77318061,70.87346653,66.21430025,66.15172534
Consumo de la red:,612.9340074338096,550.5451752466668,608.5849512738096,590.2417215614287,613.0079228038096,595.4735870614286,614.4443983538096,611.7796193138096,590.5737479614286,610.4516929938096,593.1326283214287,615.1734341838096
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,547.1292167,518.7623314,581.921666,552.8416561,546.5378938,510.9867321,535.0460893,556.3643217,550.1854449,566.9877323,529.714402,529.2138027
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo de batería:,395.0993476950024,356.8639269503247,395.0993476950024,382.35420744677646,395.0993476950024,382.35420744677646,395.0993476950024,395.0993476950024,382.35420744677646,395.0993476950024,382.35420744677646,395.0993476950024
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,547.1292167,518.7623314,581.921666,552.8416561,546.5378938,510.9867321,535.0460893,556.3643217,550.1854449,566.9877323,529.714402,529.2138027
Consumo de la red:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Consumo de batería:,395.0993476950024,356.8639269503247,395.0993476950024,382.35420744677646,395.0993476950024,382.35420744677646,395.0993476950024,395.0993476950024,382.35420744677646,395.0993476950024,382.35420744677646,395.0993476950024
Demanda:,681.3251595238096,615.3904666666667,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096,681.3251595238096,659.3469285714286,681.3251595238096,659.3469285714286,681.3251595238096
Generación FV:,547.1292167,518.7623314,581.921666,552.8416561,546.5378938,510.9867321,535.0460893,556.3643217,550.1854449,566.9877323,529.714402,529.2138027
Consumo de la red:,109.91499322166582,99.27805839376268,109.91499322166582,106.36934827903144,109.91499322166582,106.36934827903144,109.91499322166582,109.91499322166582,106.36934827903144,109.91499322166582,106.36934827903144,109.91499322166582
Consumo de batería:,297.52671957591485,268.7338112298586,297.52671957591485,287.9290834605628,297.52671957591485,287.9290834605628,297.52671957591485,297.52671957591485,287.9290834605628,297.52671957591485,287.9290834605628,297.52671957591485
