 Time,Values
Phase A,
25/09/2023 00:00,"6406.379999999999"
26/09/2023 00:00,"8551.320000000002"
27/09/2023 00:00,"8083.95"
28/09/2023 00:00,"5877.219999999999"
29/09/2023 00:00,"7210.739999999998"
30/09/2023 00:00,"8946.57"
01/10/2023 00:00,"6074.86"
Phase B,
25/09/2023 00:00,"11178.000000000004"
26/09/2023 00:00,"15320.539999999999"
27/09/2023 00:00,"13095.11"
28/09/2023 00:00,"14966.539999999999"
29/09/2023 00:00,"12834.96"
30/09/2023 00:00,"13007.810000000001"
01/10/2023 00:00,"12860.95"
Phase C,
25/09/2023 00:00,"0"
26/09/2023 00:00,"0"
27/09/2023 00:00,"0"
28/09/2023 00:00,"0"
29/09/2023 00:00,"0"
30/09/2023 00:00,"0"
01/10/2023 00:00,"0"
Total,
25/09/2023 00:00,"17584.380000000005"
26/09/2023 00:00,"23871.86"
27/09/2023 00:00,"21179.06"
28/09/2023 00:00,"20843.76"
29/09/2023 00:00,"20045.699999999997"
30/09/2023 00:00,"21954.38"
01/10/2023 00:00,"18935.81"
Phase A Returned,
25/09/2023 00:00,"0"
26/09/2023 00:00,"0"
27/09/2023 00:00,"0"
28/09/2023 00:00,"0"
29/09/2023 00:00,"0"
30/09/2023 00:00,"0"
01/10/2023 00:00,"0"
Phase B Returned,
25/09/2023 00:00,"0"
26/09/2023 00:00,"0"
27/09/2023 00:00,"0"
28/09/2023 00:00,"0"
29/09/2023 00:00,"0"
30/09/2023 00:00,"0"
01/10/2023 00:00,"0"
Phase C Returned,
25/09/2023 00:00,"0"
26/09/2023 00:00,"0"
27/09/2023 00:00,"0"
28/09/2023 00:00,"0"
29/09/2023 00:00,"0"
30/09/2023 00:00,"0"
01/10/2023 00:00,"0"
Total Returned,
25/09/2023 00:00,"0"
26/09/2023 00:00,"0"
27/09/2023 00:00,"0"
28/09/2023 00:00,"0"
29/09/2023 00:00,"0"
30/09/2023 00:00,"0"
01/10/2023 00:00,"0"
